	columns
101	Other_core_revenues_per_FTE__GASB_
102	Core_expenses_total_dollars__GASB_
103	Instruction_expenses_as_a_percent_of_total_core_expenses__GASB_
104	Research_expenses_as_a_percent_of_total_core_expenses__GASB_
105	Public_service_expenses_as_a_percent_of_total_core_expenses__GASB_
106	Academic_support_expenses_as_a_percent_of_total_core_expenses__GASB_
107	Student_service_expenses_as_a_percent_of_total_core_expenses__GASB_
108	Institutional_support_expenses_as_a_percent_of_total_core_expenses__GASB_
109	Other_core_expenses_as_a_percent_of_total_core_expenses__GASB_
110	Instruction_expenses_per_FTE__GASB_
111	Research_expenses_per_FTE__GASB_
112	Public_service_expenses_per_FTE__GASB_
113	Academic_support_expenses_per_FTE__GASB_
114	Student_service_expenses_per_FTE__GASB_
115	Institutional_support_expenses_per_FTE__GASB_
116	All_other_core_expenses_per_FTE__GASB_
117	Salaries_and_wages_for_core_expenses_as_a_percent_of_total_core_expenses__GASB_
118	Salaries_and_wages_for_instruction_as_a_percent_of_total_expenses_for_instruction__GASB_
119	Salaries_and_wages_for_research_as_a_percent_of_total_expenses_for_research__GASB_
120	Salaries_and_wages_for_public_service_as_a_percent_of_total_expenses_for_public_service__GASB_
121	Salaries_and_wages_for_academic_support_as_a_percent_of_total_expenses_for_academic_support__GASB_
122	Salaries_and_wages_for_student_services_as_a_percent_of_total_expenses_for_student_services__GASB_
123	Salaries_and_wages_for_institutional_support_as_a_percent_of_total_expenses_for_institutional_support__GASB_
124	Salaries_and_wages_for_other_core_expense_functions_as_a_percent_of_total_expenses_for_other_core_expense_functions__GASB_
125	Total_salaries_wages_and_benefits_as_a_percent_of_total_expenses__GASB_
126	Total_salaries_and_wages_as_a_percent_of_total_expenses__GASB_
127	Endowment_assets__year_end__per_FTE_enrollment__GASB_
128	Equity_ratio__GASB_
129	Total_FTE_staff
130	Instructional_research_and_public_service_FTE
131	Instructional_FTE
132	Research_FTE
133	Public_Service_FTE
134	Librarians_Curators_and_ArchivistsStudent_and_Academic_Affairs_and_Other_Education_Services_FTE
135	Librarians_Curators_and_Archivists_FTE
136	Student_and_Academic_Affairs_and_Other_Education_Services_FTE
137	Management_FTE
138	Business_and_Financial_Operations_FTE
139	Computer_Engineering_and_Science_FTE
140	Community_Service_Legal_Arts_and_Media_FTE
141	Healthcare_FTE
142	Service_sales_officeadmin_support_natural_resources_construction_maintenance_production_transportation__materials_moving_FTE
143	Service_FTE
144	Sales_and_Related_FTE
145	Office_and_Administrative_Support_FTE
146	Natural_Resources_Construction_and_Maintenance_FTE
147	Production_Transportation_and_Material_Moving_FTE
148	Average_salary_equated_to_9_months_of_fulltime_instructional_staff__all_ranks
149	Average_salary_equated_to_9_months_of_fulltime_instructional_staff__professors
150	Average_salary_equated_to_9_months_of_fulltime_instructional_staff__associate_professors
151	Average_salary_equated_to_9_months_of_fulltime_instructional_staff__assistant_professors
152	Average_salary_equated_to_9_months_of_fulltime_instructional_staff__instructors
153	Average_salary_equated_to_9_months_of_fulltime_instructional_staff__lecturers
154	Average_salary_equated_to_9_months_of_fulltime_instructional_staff__No_academic_rank
155	Salaries_and_wages_from_the_library_budget_as_a_percent_of_total_library_expenditures
156	Onetime_purchases_of_books_serial_backfiles_and_other_materials_as_a_percent_of_total_library_expenditures
157	Ongoing_commitments_to_subscriptions_as_a_percent_of_total_library_expenditures
158	Total_operations_and_maintenance_as_a_percent_of_total_library_expenditures
159	Total_library_expenditures_per_FTE
160	Fulltime_firsttime_degreecertificateseeking_students_required_to_live_on_campus
161	Total_dormitory_capacity
162	Number_of_meals_per_week_in_board_charge
163	Typical_room_charge_for_academic_year
164	Typical_board_charge_for_academic_year
165	Undergraduate_application_fee
166	Graduate_application_fee
